name,genre,description,audience_score,rotten_tomatoes_score,year,image
"Black Panther",Action,""Black Panther" follows T'Challa who, after the events of "Captain America: Civil War," returns home to the isolated, technologically advanced African nation of Wakanda to take his place as King. However, when an old enemy reappears on the radar, T'Challa's mettle as King and Black Panther is tested when he is drawn into a conflict that puts the entire fate of Wakanda and the world at risk.",79,97,2018,https://resizing.flixster.com/u2m7YBrsgNle-Me0FIU-zcmwTEg=/fit-in/200x296.2962962962963/v1.bTsxMjU1NzcyNTtqOzE3OTY1OzEyMDA7MTY4ODsyNTAw
Chef,Comedy,"Chef Carl Casper (Jon Favreau) suddenly quits his job at a prominent Los Angeles restaurant after refusing to compromise his creative integrity for its controlling owner (Dustin Hoffman), he is left to figure out what's next. Finding himself in Miami, he teams up with his ex-wife (Sofia Vergara), his friend (John Leguizamo) and his son to launch a food truck. Taking to the road, Chef Carl goes back to his roots to reignite his passion for the kitchen -- and zest for life and love. ",85,87,2014,https://resizing.flixster.com/iS30XHudrMVsfsHE03_d-xdDUuc=/fit-in/200x296.2962962962963/v1.bTsxMTE4MDUwMztqOzE4MDM5OzEyMDA7ODAwOzEyMDA
Coco,Animation,"Despite his family's baffling generations-old ban on music, Miguel (voice of newcomer Anthony Gonzalez) dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz (voice of Benjamin Bratt). Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector (voice of Gael García Bernal), and together, they set off on an extraordinary journey to unlock the rea",94,97,2017,https://resizing.flixster.com/RYCQyFqPL0ETl6VZxumsO9733d8=/fit-in/200x296.2962962962963/v1.bTsxMjUxNDk5MztwOzE3OTY0OzEyMDA7NDY1OzY4OA
"Creed II",Action,"Life has become a balancing act for Adonis Creed. Between personal obligations and training for his next big fight, he is up against the challenge of his life. Facing an opponent with ties to his family's past only intensifies his impending battle in the ring. Rocky Balboa is there by his side through it all and, together, Rocky and Adonis will confront their shared legacy, question what's worth fighting for, and discover that nothing's more important than family. ",84,83,2018,https://resizing.flixster.com/pWjxuEuRQtZC6_bXlf866X5-A1s=/fit-in/200x296.2962962962963/v1.bTsxMjg2MTU0OTtqOzE3OTY4OzEyMDA7NjU4MTs5NzUw
Gravity,"Science Fiction","Gravity stars Sandra Bullock and George Clooney in a heart-pounding thriller that pulls you into the infinite and unforgiving realm of deep space. Bullock plays Dr. Ryan Stone, a brilliant medical engineer on her first shuttle mission, with veteran astronaut Matt Kowalsky (Clooney). But on a seemingly routine spacewalk, disaster strikes. The shuttle is destroyed, leaving Stone and Kowalsky completely alone - tethered to nothing but each other and spiraling out into the blackness.",80,96,2013,https://resizing.flixster.com/2QFiJS3IGzJLxmx25fs5-ZQRshw=/fit-in/200x296.2962962962963/v1.bTsxMTE3NjQ1MDtqOzE4MDM5OzEyMDA7ODAwOzEyMDA
Inception,Mistery,"Visionary filmmaker Christopher Nolan (Memento, The Dark Knight) writes and directs this psychological sci-fi action film about a thief who possesses the power to enter into the dreams of others. Dom Cobb (Leonardo DiCaprio) doesn't steal things, he steals ideas. By projecting himself deep into the subconscious of his targets, he can glean information that even the best computer hackers can't get to. In the world of corporate espionage, Cobb is the ultimate weapon. But even weapons have their we",91,86,2010,https://resizing.flixster.com/mOo4ekbl8BQcyAp3A28RpGc0sXQ=/206x305/v1.bTsxMTE2NjcyNTtqOzE4MDM5OzEyMDA7ODAwOzEyMDA
Logan,Action,"It's 2029. Mutants are gone--or very nearly so. An isolated, despondent Logan is drinking his days away in a hideout on a remote stretch of the Mexican border, picking up petty cash as a driver for hire. His companions in exile are the outcast Caliban and an ailing Professor X, whose singular mind is plagued by worsening seizures.",90,93,2017,https://resizing.flixster.com/3Ye7vySA4PtmgjAK9Re4BFFqJPU=/fit-in/200x296.2962962962963/v1.bTsxMjMwNDQ4NDtqOzE3OTYyOzEyMDA7NjI2OzkyNA
"Mad Max : Fury Road",Adventure,"Filmmaker George Miller gears up for another post-apocalyptic action adventure with Fury Road, the fourth outing in the Mad Max film series. Charlize Theron stars alongside Tom Hardy (Bronson), with Zoe Kravitz, Adelaide Clemens, and Rosie Huntington Whiteley heading up the supporting cast.",85,97,2015,https://resizing.flixster.com/N-bXIEL2fUaRSR0uo_yCLxRRNPs=/fit-in/200x296.2962962962963/v1.bTsxMTE5MTI3NjtqOzE4MDM5OzEyMDA7NTA5Ozc1NQ
Moonlight,Drama,"The tender, heartbreaking story of a young man's struggle to find himself, told across three defining chapters in his life as he experiences the ecstasy, pain, and beauty of falling in love, while grappling with his own sexuality.",79,98,2016,https://resizing.flixster.com/Lfd47mPJGPv_c1kUn94N-jHIFBU=/fit-in/200x296.2962962962963/v1.bTsxMjIyMzcyNTtqOzE3OTYxOzEyMDA7MjcwMDszOTEw
"Project X",Comedy,"n Pasadena, high school students Costa and J.B. plan to throw a party for their friend Thomas' birthday, aiming to increase their popularity. Thomas' parents go away for the weekend, leaving him alone in the house, but warn him not to have too many people over, and not to drive his father's Mercedes. Thomas is reluctant to have the party at his house, but Costa continues with his plan and hires A/V student Dax to chronicle the night's events. While Costa, J.B., and Dax advertise the party throug",61,28,2012,https://resizing.flixster.com/plYhrDjo-k-TRtlF20RMZZa4yt4=/206x305/v1.bTsxMTE2MzA4NTtqOzE4MDM5OzEyMDA7MTAxNDsxNTAw
